,CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
0,1,1,19,15,39,0,3
1,2,1,21,15,81,0,2
2,3,0,20,16,6,0,3
3,4,0,23,16,77,0,2
4,5,0,31,17,40,0,3
5,6,0,22,17,76,0,2
6,7,0,35,18,6,0,3
7,8,0,23,18,94,0,2
8,9,1,64,19,3,0,3
9,10,0,30,19,72,0,2
10,11,1,67,19,14,0,3
11,12,0,35,19,99,0,2
12,13,0,58,20,15,0,3
13,14,0,24,20,77,0,2
14,15,1,37,20,13,0,3
15,16,1,22,20,79,0,2
16,17,0,35,21,35,0,3
17,18,1,20,21,66,0,2
18,19,1,52,23,29,0,3
19,20,0,35,23,98,0,2
20,21,1,35,24,35,0,3
21,22,1,25,24,73,0,2
22,23,0,46,25,5,0,3
23,24,1,31,25,73,0,2
24,25,0,54,28,14,0,3
25,26,1,29,28,82,0,2
26,27,0,45,28,32,0,3
27,28,1,35,28,61,0,2
28,29,0,40,29,31,0,3
29,30,0,23,29,87,0,2
30,31,1,60,30,4,0,3
31,32,0,21,30,73,0,2
32,33,1,53,33,4,0,3
33,34,1,18,33,92,0,2
34,35,0,49,33,14,0,3
35,36,0,21,33,81,0,2
36,37,0,42,34,17,0,3
37,38,0,30,34,73,0,2
38,39,0,36,37,26,0,3
39,40,0,20,37,75,0,2
40,41,0,65,38,35,0,3
41,42,1,24,38,92,0,2
42,43,1,48,39,36,0,3
43,44,0,31,39,61,0,0
44,45,0,49,39,28,0,3
45,46,0,24,39,65,0,2
46,47,0,50,40,55,0,0
47,48,0,27,40,47,0,0
48,49,0,29,40,42,0,0
49,50,0,31,40,42,0,0
50,51,0,49,42,52,0,0
51,52,1,33,42,60,0,0
52,53,0,31,43,54,0,0
53,54,1,59,43,60,0,0
54,55,0,50,43,45,0,0
55,56,1,47,43,41,0,0
56,57,0,51,44,50,0,0
57,58,1,69,44,46,0,0
58,59,0,27,46,51,0,0
59,60,1,53,46,46,0,0
60,61,1,70,46,56,0,0
61,62,1,19,46,55,0,0
62,63,0,67,47,52,0,0
63,64,0,54,47,59,0,0
64,65,1,63,48,51,0,0
65,66,1,18,48,59,0,0
66,67,0,43,48,50,0,0
67,68,0,68,48,48,0,0
68,69,1,19,48,59,0,0
69,70,0,32,48,47,0,0
70,71,1,70,49,55,0,0
71,72,0,47,49,42,0,0
72,73,0,60,50,49,0,0
73,74,0,60,50,56,0,0
74,75,1,59,54,47,2,0
75,76,1,26,54,54,2,0
76,77,0,45,54,53,2,0
77,78,1,40,54,48,2,0
78,79,0,23,54,52,2,0
79,80,0,49,54,42,2,0
80,81,1,57,54,51,2,0
81,82,1,38,54,55,2,0
82,83,1,67,54,41,2,0
83,84,0,46,54,44,2,0
84,85,0,21,54,57,2,0
85,86,1,48,54,46,2,0
86,87,0,55,57,58,2,0
87,88,0,22,57,55,2,0
88,89,0,34,58,60,2,0
89,90,0,50,58,46,2,0
90,91,0,68,59,55,2,0
91,92,1,18,59,41,2,0
92,93,1,48,60,49,2,0
93,94,0,40,60,40,2,0
94,95,0,32,60,42,2,0
95,96,1,24,60,52,2,0
96,97,0,47,60,47,2,0
97,98,0,27,60,50,2,0
98,99,1,48,61,42,2,0
99,100,1,20,61,49,2,0
100,101,0,23,62,41,2,0
101,102,0,49,62,48,2,0
102,103,1,67,62,59,2,0
103,104,1,26,62,55,2,0
104,105,1,49,62,56,2,0
105,106,0,21,62,42,2,0
106,107,0,66,63,50,2,0
107,108,1,54,63,46,2,0
108,109,1,68,63,43,2,0
109,110,1,66,63,48,2,0
110,111,1,65,63,52,2,0
111,112,0,19,63,54,2,0
112,113,0,38,64,42,2,0
113,114,1,19,64,46,2,0
114,115,0,18,65,48,2,0
115,116,0,19,65,50,2,0
116,117,0,63,65,43,2,0
117,118,0,49,65,59,2,0
118,119,0,51,67,43,2,0
119,120,0,50,67,57,2,0
120,121,1,27,67,56,2,0
121,122,0,38,67,40,2,0
122,123,0,40,69,58,2,0
123,124,1,39,69,91,2,1
124,125,0,23,70,29,2,4
125,126,0,31,70,77,2,1
126,127,1,43,71,35,2,0
127,128,1,40,71,95,2,1
128,129,1,59,71,11,2,4
129,130,1,38,71,75,2,1
130,131,1,47,71,9,2,4
131,132,1,39,71,75,2,1
132,133,0,25,72,34,2,0
133,134,0,31,72,71,2,1
134,135,1,20,73,5,2,4
135,136,0,29,73,88,2,1
136,137,0,44,73,7,2,4
137,138,1,32,73,73,2,1
138,139,1,19,74,10,2,4
139,140,0,35,74,72,2,1
140,141,0,57,75,5,2,4
141,142,1,32,75,93,2,1
142,143,0,28,76,40,2,0
143,144,0,32,76,87,2,1
144,145,1,25,77,12,2,4
145,146,1,28,77,97,2,1
146,147,1,48,77,36,2,4
147,148,0,32,77,74,2,1
148,149,0,34,78,22,2,4
149,150,1,34,78,90,2,1
150,151,1,43,78,17,2,4
151,152,1,39,78,88,2,1
152,153,0,44,78,20,2,4
153,154,0,38,78,76,2,1
154,155,0,47,78,16,2,4
155,156,0,27,78,89,2,1
156,157,1,37,78,1,2,4
157,158,0,30,78,78,2,1
158,159,1,34,78,1,2,4
159,160,0,30,78,73,2,1
160,161,0,56,79,35,2,4
161,162,0,29,79,83,2,1
162,163,1,19,81,5,2,4
163,164,0,31,81,93,2,1
164,165,1,50,85,26,1,4
165,166,0,36,85,75,1,1
166,167,1,42,86,20,1,4
167,168,0,33,86,95,1,1
168,169,0,36,87,27,1,4
169,170,1,32,87,63,1,1
170,171,1,40,87,13,1,4
171,172,1,28,87,75,1,1
172,173,1,36,87,10,1,4
173,174,1,36,87,92,1,1
174,175,0,52,88,13,1,4
175,176,0,30,88,86,1,1
176,177,1,58,88,15,1,4
177,178,1,27,88,69,1,1
178,179,1,59,93,14,1,4
179,180,1,35,93,90,1,1
180,181,0,37,97,32,1,4
181,182,0,32,97,86,1,1
182,183,1,46,98,15,1,4
183,184,0,29,98,88,1,1
184,185,0,41,99,39,1,4
185,186,1,30,99,97,1,1
186,187,0,54,101,24,1,4
187,188,1,28,101,68,1,1
188,189,0,41,103,17,1,4
189,190,0,36,103,85,1,1
190,191,0,34,103,23,1,4
191,192,0,32,103,69,1,1
192,193,1,33,113,8,1,4
193,194,0,38,113,91,1,1
194,195,0,47,120,16,1,4
195,196,0,35,120,79,1,1
196,197,0,45,126,28,1,4
197,198,1,32,126,74,1,1
198,199,1,32,137,18,1,4
199,200,1,30,137,83,1,1
